Entidad federativa,Grupos quinquenales de edad,2010 Total,2010 Hombres,2010 Mujeres,2011 Total,2011 Hombres,2011 Mujeres,2012 Total,2012 Hombres,2012 Mujeres,2013 Total,2013 Hombres,2013 Mujeres,2014 Total,2014 Hombres,2014 Mujeres,2015 Total,2015 Hombres,2015 Mujeres,2016 Total,2016 Hombres,2016 Mujeres,2017 Total,2017 Hombres,2017 Mujeres
Chihuahua,25 a 29 años,25,24,1,37,32,5,28,24,4,48,42,6,42,38,4,46,41,5,53,37,16,45,35,10
Chihuahua,30 a 34 años,30,27,3,17,16,1,20,16,4,27,26,1,28,21,7,43,36,7,32,22,10,42,38,4
Chihuahua,35 a 39 años,21,18,3,28,26,2,24,19,5,26,17,9,32,20,12,37,26,11,43,34,9,35,29,6
Chihuahua,40 a 44 años,18,17,1,29,25,4,32,26,6,25,21,4,24,18,6,37,31,6,42,29,13,35,29,6
Chihuahua,45 a 49 años,20,16,4,27,23,4,12,12,0,27,22,5,25,20,5,27,20,7,39,29,10,31,21,10
Chihuahua,50 a 54 años,13,12,1,14,11,3,23,21,2,14,12,2,19,17,2,23,20,3,18,16,2,16,10,6
Chihuahua,55 a 59 años,10,9,1,12,9,3,16,9,7,11,9,2,12,8,4,17,12,5,23,23,0,20,19,1
Chihuahua,60 años y más,27,25,2,44,38,6,33,31,2,34,31,3,35,32,3,55,50,5,41,39,2,40,35,5
Chihuahua,No especificado,2,2,0,0,0,0,0,0,0,12,9,2,11,10,1,16,16,0,8,8,0,10,5,5
Ciudad de México,Total,375,300,75,413,328,85,426,341,85,425,346,79,434,336,98,369,290,79,377,296,81,302,234,68
Ciudad de México,10 a 14 años,14,9,5,19,13,6,14,8,6,14,8,6,23,11,12,16,8,8,15,8,7,12,9,3
Ciudad de México,15 a 19 años,48,33,15,80,58,22,79,58,21,52,39,13,62,43,19,45,29,16,43,34,9,42,29,13
Ciudad de México,20 a 24 años,58,44,14,71,56,15,71,57,14,58,48,10,71,58,13,66,50,16,60,49,11,42,30,12
Ciudad de México,25 a 29 años,37,29,8,40,28,12,64,54,10,66,51,15,47,35,12,50,41,9,44,35,9,41,31,10
Ciudad de México,30 a 34 años,32,26,6,29,23,6,40,31,9,43,39,4,45,37,8,36,29,7,42,38,4,30,28,2
Ciudad de México,35 a 39 años,42,34,8,51,44,7,28,28,0,41,36,5,47,37,10,27,23,4,36,30,6,26,18,8
Ciudad de México,40 a 44 años,34,26,8,25,20,5,40,34,6,38,34,4,26,20,6,39,33,6,29,21,8,26,17,9
Ciudad de México,45 a 49 años,23,20,3,21,19,2,23,17,6,28,23,5,32,26,6,28,25,3,27,19,8,23,22,1
Ciudad de México,50 a 54 años,16,12,4,20,18,2,15,9,6,22,17,5,14,11,3,13,8,5,25,17,8,18,16,2
Ciudad de México,55 a 59 años,20,19,1,14,12,2,14,12,2,20,15,5,22,18,4,15,12,3,16,14,2,9,8,1
Ciudad de México,60 años y más,51,48,3,43,37,6,38,33,5,43,36,7,45,40,5,34,32,2,40,31,9,33,26,7
Ciudad de México,No especificado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,Total,94,74,20,86,63,23,76,65,11,90,78,12,104,86,18,116,95,21,114,88,26,124,103,21
